Date,Actual,Forecasted
2018-01-02 00:00:00,320.5299987792969,310.40419713790754
2018-01-03 00:00:00,317.25,312.413541395454
2018-01-04 00:00:00,314.6199951171875,313.0266730130125
2018-01-05 00:00:00,316.5799865722656,312.6770914964555
2018-01-08 00:00:00,336.4100036621094,319.69730788622996
2018-01-09 00:00:00,333.69000244140625,322.5651260448502
2018-01-10 00:00:00,334.79998779296875,324.83007286416813
2018-01-11 00:00:00,337.95001220703125,325.4695145442925
2018-01-12 00:00:00,336.2200012207031,324.9364899807009
2018-01-16 00:00:00,340.05999755859375,333.0133363359497
2018-01-17 00:00:00,347.1600036621094,334.5300765105462
2018-01-18 00:00:00,344.57000732421875,334.31403552110595
2018-01-19 00:00:00,350.0199890136719,332.8733888406458
2018-01-22 00:00:00,351.55999755859375,336.327075898976
2018-01-23 00:00:00,352.7900085449219,337.9091758809985
2018-01-24 00:00:00,345.8900146484375,338.88111710457684
2018-01-25 00:00:00,337.6400146484375,338.2377951329098
2018-01-26 00:00:00,342.8500061035156,336.51303441363314
2018-01-29 00:00:00,349.5299987792969,340.1917220291184
2018-01-30 00:00:00,345.82000732421875,342.1771078381714
2018-01-31 00:00:00,354.30999755859375,343.68826834226525
2018-02-01 00:00:00,349.25,343.6809817137017
2018-02-02 00:00:00,343.75,342.6625743686688
2018-02-05 00:00:00,333.1300048828125,348.8624067870995
2018-02-06 00:00:00,333.9700012207031,351.6704517908807
2018-02-07 00:00:00,345.0,353.9057500444357
2018-02-08 00:00:00,315.2300109863281,354.44673666936313
2018-02-09 00:00:00,310.4200134277344,353.77168912459064
2018-02-12 00:00:00,315.7300109863281,359.94077712185907
2018-02-13 00:00:00,323.6600036621094,362.21546288385804
2018-02-14 00:00:00,322.30999755859375,363.5944517674109
2018-02-15 00:00:00,334.07000732421875,362.9270284407436
2018-02-16 00:00:00,335.489990234375,360.72465953775486
2018-02-20 00:00:00,334.7699890136719,360.629679898713
2018-02-21 00:00:00,333.29998779296875,359.3665283299798
2018-02-22 00:00:00,346.1700134277344,355.98691749938183
2018-02-23 00:00:00,352.04998779296875,351.469016383945
2018-02-26 00:00:00,357.4200134277344,344.7801482128076
2018-02-27 00:00:00,350.989990234375,342.5791208150984
2018-02-28 00:00:00,343.05999755859375,339.59313162977253
2018-03-01 00:00:00,330.92999267578125,334.8777948172392
2018-03-02 00:00:00,335.1199951171875,329.0462649487919
2018-03-05 00:00:00,333.3500061035156,320.0338936609444
2018-03-06 00:00:00,328.20001220703125,317.7583443509669
2018-03-07 00:00:00,332.29998779296875,315.1014209024599
2018-03-08 00:00:00,329.1000061035156,311.16980871081626
2018-03-09 00:00:00,327.1700134277344,306.50139964697445
2018-03-12 00:00:00,345.510009765625,301.91878868564976
2018-03-13 00:00:00,341.8399963378906,301.4731563620234
2018-03-14 00:00:00,326.6300048828125,300.7965469321428
2018-03-15 00:00:00,325.6000061035156,298.97814610209673
2018-03-16 00:00:00,321.3500061035156,296.4665044280145
2018-03-19 00:00:00,313.55999755859375,297.82174147087807
2018-03-20 00:00:00,310.54998779296875,299.14677794151544
2018-03-21 00:00:00,316.5299987792969,300.0876666794424
2018-03-22 00:00:00,309.1000061035156,299.69407037073665
2018-03-23 00:00:00,301.5400085449219,298.37574424501065
2018-03-26 00:00:00,304.17999267578125,301.90370503072893
2018-03-27 00:00:00,279.17999267578125,303.45972652941845
2018-03-28 00:00:00,257.7799987792969,304.37721433049825
2018-03-29 00:00:00,266.1300048828125,303.70583480883715
2018-04-02 00:00:00,252.47999572753906,302.99177785988707
2018-04-03 00:00:00,267.5299987792969,303.5125259227315
2018-04-04 00:00:00,286.94000244140625,303.3423131894734
2018-04-05 00:00:00,305.7200012207031,301.58274065586323
2018-04-06 00:00:00,299.29998779296875,298.72380133719054
2018-04-09 00:00:00,289.6600036621094,297.1709492729114
2018-04-10 00:00:00,304.70001220703125,297.0604356684656
2018-04-11 00:00:00,300.92999267578125,296.43600403404315
2018-04-12 00:00:00,294.0799865722656,294.43403509045197
2018-04-13 00:00:00,300.3399963378906,291.5387710595253
2018-04-16 00:00:00,291.2099914550781,290.71858868831725
2018-04-17 00:00:00,287.69000244140625,292.158369168668
2018-04-18 00:00:00,293.3500061035156,293.2087276396724
2018-04-19 00:00:00,300.0799865722656,292.9746994057635
2018-04-20 00:00:00,290.239990234375,291.8850027634708
2018-04-23 00:00:00,283.3699951171875,296.4580364501026
2018-04-24 00:00:00,283.4599914550781,298.5762566257581
2018-04-25 00:00:00,280.69000244140625,300.1818307039136
2018-04-26 00:00:00,285.4800109863281,300.3231047105599
2018-04-27 00:00:00,294.0799865722656,299.4087175119486
2018-04-30 00:00:00,293.8999938964844,303.45342816730806
2018-05-01 00:00:00,299.9200134277344,304.951136199697
2018-05-02 00:00:00,301.1499938964844,305.6923538792335
2018-05-03 00:00:00,284.45001220703125,304.72570064837913
2018-05-04 00:00:00,294.0899963378906,302.5000831388124
2018-05-07 00:00:00,302.7699890136719,301.7765980790351
2018-05-08 00:00:00,301.9700012207031,301.48851314558823
2018-05-09 00:00:00,306.8500061035156,300.42595925649977
2018-05-10 00:00:00,305.0199890136719,297.716923208668
2018-05-11 00:00:00,301.05999755859375,293.8704305780826
2018-05-14 00:00:00,291.9700012207031,289.01946918742755
2018-05-15 00:00:00,284.17999267578125,287.7703217660398
2018-05-16 00:00:00,286.4800109863281,286.04121412357637
2018-05-17 00:00:00,284.5400085449219,283.0296621425151
2018-05-18 00:00:00,276.82000732421875,279.23701121216567
2018-05-21 00:00:00,284.489990234375,276.03659532280017
