Date,Actual,Forecasted
06/27/2018 0:00,97.54000092,100.1780894
06/28/2018 0:00,98.62999725,100.3326252
06/29/2018 0:00,98.61000061,100.5279018
07/02/2018 0:00,100.0100021,100.6246094
07/03/2018 0:00,99.05000305,100.9858359
07/05/2018 0:00,99.76000214,101.6072748
07/06/2018 0:00,101.1600037,102.0110181
07/09/2018 0:00,101.8499985,102.6508171
07/10/2018 0:00,102.1200027,103.1619481
07/11/2018 0:00,101.9800034,103.5396519
07/12/2018 0:00,104.1900024,104.0071963
07/13/2018 0:00,105.4300003,104.4835961
07/16/2018 0:00,104.9100037,105.1486339
07/17/2018 0:00,105.9499969,105.6164077
07/18/2018 0:00,105.1200027,105.9199646
07/19/2018 0:00,104.4000015,106.2899403
07/20/2018 0:00,106.2699966,106.6460453
07/23/2018 0:00,107.9700012,106.8335653
07/24/2018 0:00,107.6600037,107.1252729
07/25/2018 0:00,110.8300018,107.2463756
07/26/2018 0:00,109.6200027,107.4348625
07/27/2018 0:00,107.6800003,107.61322
07/30/2018 0:00,105.3700027,107.3212173
07/31/2018 0:00,106.0800018,107.484001
08/01/2018 0:00,106.2799988,107.493693
08/02/2018 0:00,107.5699997,107.5903754
08/03/2018 0:00,108.0400009,107.6970056
08/06/2018 0:00,108.1299973,107.3095194
08/07/2018 0:00,108.8799973,107.4774897
08/08/2018 0:00,109.4899979,107.5083025
08/09/2018 0:00,109.6699982,107.6400233
08/10/2018 0:00,109,107.7933875
08/13/2018 0:00,108.2099991,107.5902553
08/14/2018 0:00,109.5599976,107.8272763
08/15/2018 0:00,107.6600037,107.9265055
08/16/2018 0:00,107.6399994,108.1248595
08/17/2018 0:00,107.5800018,108.3411729
08/20/2018 0:00,106.8700027,108.2882503
08/21/2018 0:00,105.9800034,108.5636504
08/22/2018 0:00,107.0599976,108.6935877
08/23/2018 0:00,107.5599976,108.9171332
08/24/2018 0:00,108.4000015,109.1534223
08/27/2018 0:00,109.5999985,109.1351903
08/28/2018 0:00,110.2600021,109.4227952
08/29/2018 0:00,112.0199966,109.5656769
08/30/2018 0:00,111.9499969,109.8063877
08/31/2018 0:00,112.3300018,110.064898
09/04/2018 0:00,111.7099991,110.4879922
09/05/2018 0:00,108.4899979,110.6903515
09/06/2018 0:00,108.7399979,110.9996321
09/07/2018 0:00,108.2099991,111.3343415
09/10/2018 0:00,109.3799973,111.6684059
09/11/2018 0:00,111.2399979,112.100726
09/12/2018 0:00,111.7099991,112.3921577
09/13/2018 0:00,112.9100037,112.7885149
09/14/2018 0:00,113.3700027,112.9592565
09/17/2018 0:00,112.1399994,112.7271055
09/18/2018 0:00,113.2099991,112.9449972
09/19/2018 0:00,111.6999969,113.003088
09/20/2018 0:00,113.5699997,113.1476998
09/21/2018 0:00,114.2600021,113.2921619
09/24/2018 0:00,114.6699982,112.8673704
09/25/2018 0:00,114.4499969,112.9869194
09/26/2018 0:00,113.9800034,112.9317639
09/27/2018 0:00,114.4100037,112.9505429
09/28/2018 0:00,114.3700027,112.9591983
10/01/2018 0:00,115.6100006,112.1040692
10/02/2018 0:00,115.1500015,112.0813118
10/03/2018 0:00,115.1699982,111.8922416
10/04/2018 0:00,112.7900009,111.7869284
10/05/2018 0:00,112.1299973,111.6852209
10/08/2018 0:00,110.8499985,110.6198959
10/09/2018 0:00,112.2600021,110.5673919
10/10/2018 0:00,106.1600037,110.2178761
10/11/2018 0:00,105.9100037,109.9759735
10/12/2018 0:00,109.5699997,109.7624881
10/15/2018 0:00,107.5999985,108.5161697
10/16/2018 0:00,111,108.4387229
10/17/2018 0:00,110.7099991,108.2403114
10/18/2018 0:00,108.5,108.160506
10/19/2018 0:00,108.6600037,108.1185977
10/22/2018 0:00,109.6299973,107.4192746
10/23/2018 0:00,108.0999985,107.5172847
10/24/2018 0:00,102.3199997,107.4888079
10/25/2018 0:00,108.3000031,107.5685974
10/26/2018 0:00,106.9599991,107.6741385
10/29/2018 0:00,103.8499985,107.3256778
10/30/2018 0:00,103.7300034,107.5048027
10/31/2018 0:00,106.8099976,107.5390213
11/01/2018 0:00,105.9199982,107.6632363
11/02/2018 0:00,106.1600037,107.7955832
11/05/2018 0:00,107.5100021,107.433771
